,index,link,name,user rating,Price (in Indian Rupees),Type,Dedicated Graphic Memory Capacity,Processor Brand,SSD,RAM (in GB),RAM Type,Expandable Memory,Operating System,Touchscreen,Screen Size (in inch),Weight (in kg),screen_resolution,company,Storage,Processor name,CPU_ranking,battery_backup,gpu name ,gpu_benchmark,ram_type_tokenized,gpu_processor tokenized,Normalized_CPU_Ranking,Normalized_GPU_Benchmark,Portability,Performance_Score,Value_Score
292,292,https://www.flipkart.com/hp-ryzen-3-quad-core-5300u-8-gb-512-gb-ssd-windows-11-home-15s-eq2143au-thin-light-laptop/p/itm833bca55e158b?pid=COMGAX8EEYFKCESS&lid=LSTCOMGAX8EEYFKCESS83R2QP&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_13_293&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=2a314d9f-46a5-49f4-8c96-583d8a0e4591.COMGAX8EEYFKCESS.SEARCH&ssid=z63m9su3ajvoac5c1653221052479,"hp ryzen 3 quad core 5300u - (8 gb/512 gb ssd/windows 11 home) 15s-eq2143au thin and light laptop  (15.6 inch, natural silver, 1.69 kg, with ms office)",4.1,38990,2,0.0,2,1,8,ddr4,1,1,0,15.6,1.69,2,2,512,amd ryzen 3 quad core,330,4.5,amd radeon,102.0,4,5,0.6389811738648947,0.4353448275862069,54.135199379979795,37.85748224309772,77.23540873245565
293,293,https://www.flipkart.com/lenovo-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-15iml05-thin-light-laptop/p/itm9598743eb6f50?pid=COMG9VHHUTKFZFMU&lid=LSTCOMG9VHHUTKFZFMUR7XP3V&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_13_294&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=2a314d9f-46a5-49f4-8c96-583d8a0e4591.COMG9VHHUTKFZFMU.SEARCH&ssid=z63m9su3ajvoac5c1653221052479,"lenovo core i3 10th gen - (8 gb/512 gb ssd/windows 11 home) 15iml05 thin and light laptop  (15.6 inch, platinum grey, 1.7 kg, with ms office)",4.4,36990,2,0.0,1,1,8,ddr4,1,1,0,15.6,1.7,2,3,512,intel core i3 10th gen,540,4.5,intel uhd,5.05,4,7,0.40642303433001115,0.017456896551724138,53.81144674536641,18.53923394718754,35.20471664847738
294,294,https://www.flipkart.com/lenovo-ideapad-core-i3-10th-gen-4-gb-256-gb-ssd-windows-11-home-3-14iil05-thin-light-laptop/p/itmd7e74397f5afe?pid=COMGAM8D5EKGN8QG&lid=LSTCOMGAM8D5EKGN8QG41EZC0&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_13_295&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=2a314d9f-46a5-49f4-8c96-583d8a0e4591.COMGAM8D5EKGN8QG.SEARCH&ssid=z63m9su3ajvoac5c1653221052479,"lenovo ideapad core i3 10th gen - (4 gb/256 gb ssd/windows 11 home) ideapad 3 14iil05 thin and light laptop  (14 inch, abyss blue, 1.6 kg, with ms office)",4.0,31990,2,0.0,1,1,4,ddr4,1,1,0,14.0,1.6,2,3,256,intel core i3 10th gen,540,4.5,intel uhd,5.05,4,7,0.40642303433001115,0.017456896551724138,63.56145383401231,16.06423394718754,35.29136257877691
295,295,https://www.flipkart.com/lenovo-thinpad-e15-g2-core-i5-11th-gen-8-gb-512-gb-ssd-windows-10-pro-512-mb-graphics-laptop/p/itm867b850b1a90a?pid=COMGAXH6EY7ZW58K&lid=LSTCOMGAXH6EY7ZW58KY1FFDF&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_13_296&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=2a314d9f-46a5-49f4-8c96-583d8a0e4591.COMGAXH6EY7ZW58K.SEARCH&ssid=z63m9su3ajvoac5c1653221052479,"lenovo thinpad e15 g2 core i5 11th gen - (8 gb/512 gb ssd/windows 10 pro/512 mb graphics) e15 g2 laptop  (15.6 inch, black)",4.2062318840579715,89998,4,0.512,1,1,8,ddr4,0,1,0,15.6,0.9974375,2,3,512,intel core i5 11th gen,108,4.5,intel hd,4.23,4,3,0.884828349944629,0.01392241379310345,76.55709278092306,33.27649768301065,23.443587471154718
296,296,https://www.flipkart.com/hp-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-14s-fq1092au-thin-light-laptop/p/itm808dc28eb54e7?pid=COMGAX8EYBZZDXY6&lid=LSTCOMGAX8EYBZZDXY6KGWIPZ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_13_297&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=2a314d9f-46a5-49f4-8c96-583d8a0e4591.COMGAX8EYBZZDXY6.SEARCH&ssid=z63m9su3ajvoac5c1653221052479,"hp ryzen 5 hexa core 5500u - (8 gb/512 gb ssd/windows 11 home) 14s-fq1092au thin and light laptop  (14 inch, natural silver, 1.46 kg, with ms office)",4.4,47990,2,0.0,2,1,8,ddr4,1,1,0,14.0,1.46,2,2,512,amd ryzen 5 hexa core,87,4.5,amd radeon,102.0,4,5,0.9080841638981174,0.4353448275862069,68.0939907185997,45.84984104708443,75.84414022680782
297,297,https://www.flipkart.com/asus-vivobook-pro-16x-oled-2021-ryzen-9-octa-core-5900h-9th-gen-16-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-rtx-3050-m7600qc-l2044ws-gaming-laptop/p/itm7ed41f78ba52a?pid=COMGAWETFGSZJZGC&lid=LSTCOMGAWETFGSZJZGCLMPEDF&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_13_298&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=2a314d9f-46a5-49f4-8c96-583d8a0e4591.COMGAWETFGSZJZGC.SEARCH&ssid=z63m9su3ajvoac5c1653221052479,"asus vivobook pro 16x oled (2021) ryzen 9 octa core 5900h 9th gen - (16 gb/1 tb ssd/windows 11 home/4 gb graphics/nvidia geforce rtx rtx 3050) m7600qc-l2044ws gaming laptop  (16 inch, black, 1.95 kg, with ms office)",4.2062318840579715,130500,1,4.0,2,1,16,ddr4,1,1,0,16.0,1.95,4,1,1024,amd ryzen 9 octa core 9th gen,110,4.0,nvidia geforce rtx 3050,72.6,4,2,0.8826135105204873,0.3086206896551724,37.047890891562645,51.229655745217094,25.485125172632106
298,298,https://www.flipkart.com/dell-inspiron-3511-core-i3-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-laptop/p/itm075ebb808aee4?pid=COMGATSCTRYZF9RQ&lid=LSTCOMGATSCTRYZF9RQKWAOQG&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_13_299&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=2a314d9f-46a5-49f4-8c96-583d8a0e4591.COMGATSCTRYZF9RQ.SEARCH&ssid=z63m9su3ajvoac5c1653221052479,"dell inspiron 3511 core i3 11th gen - (8 gb/1 tb hdd/256 gb ssd/windows 10 home) 3511 laptop  (15.6 inch, black, 1.83 kg, with ms office)",4.2062318840579715,48990,4,0.0,1,1,8,ddr4,1,1,0,15.6,1.83,2,4,1256,intel core i3 11th gen,362,4.5,intel hd,4.23,4,3,0.6035437430786268,0.01392241379310345,49.6026624953924,24.28874485909039,34.72102652013654
299,299,https://www.flipkart.com/msi-core-i5-11th-gen-8-gb-512-gb-ssd-windows-10-home-modern-14-b11mou-861in-thin-light-laptop/p/itm6499f3fed340a?pid=COMG8CXWKPFY3CCT&lid=LSTCOMG8CXWKPFY3CCTGTVFCE&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_13_300&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=2a314d9f-46a5-49f4-8c96-583d8a0e4591.COMG8CXWKPFY3CCT.SEARCH&ssid=z63m9su3ajvoac5c1653221052479,"msi core i5 11th gen - (8 gb/512 gb ssd/windows 10 home) modern 14 b11mou-861in thin and light laptop  (14 inch, carbon gray, 1.3 kg)",4.1,46990,2,0.0,1,1,8,ddr4,0,1,0,14.0,1.3,2,5,512,intel core i5 11th gen,108,4.5,intel uhd,5.05,4,7,0.884828349944629,0.017456896551724138,73.27403287241385,32.74787182094168,52.71600699444891
300,300,https://www.flipkart.com/msi-core-i7-11th-gen-8-gb-512-gb-ssd-windows-10-home-2-graphics-modern-14-b11sbu-688in-thin-light-laptop/p/itmc2c6b2939c211?pid=COMG8FFYYNUFGPUU&lid=LSTCOMG8FFYYNUFGPUUFYP6GQ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_13_301&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=2a314d9f-46a5-49f4-8c96-583d8a0e4591.COMG8FFYYNUFGPUU.SEARCH&ssid=z63m9su3ajvoac5c1653221052479,"msi core i7 11th gen - (8 gb/512 gb ssd/windows 10 home/2 gb graphics) modern 14 b11sbu-688in thin and light laptop  (14 inch, carbon gray, 1.3 kg)",4.2062318840579715,76990,2,2.0,1,1,8,ddr4,0,1,0,14.0,1.3,2,5,512,intel core i7 11th gen,61,4.5,nvidia geforce mx 450,33.8,4,13,0.9368770764119602,0.14137931034482756,73.27403287241385,40.4492146866766,37.368791408180456
301,301,https://www.flipkart.com/hp-pavilion-x360-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-14-dy0190tu-2-1-laptop/p/itm2485c56a6d60d?pid=COMGA3743UQM5QZ4&lid=LSTCOMGA3743UQM5QZ4ZQUM2L&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_13_302&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=2a314d9f-46a5-49f4-8c96-583d8a0e4591.COMGA3743UQM5QZ4.SEARCH&ssid=z63m9su3ajvoac5c1653221052479,"hp pavilion x360 core i3 11th gen - (8 gb/256 gb ssd/windows 11 home) 14-dy0190tu 2 in 1 laptop  (14 inch, natural silver, 1.52 kg, with ms office)",4.5,53990,3,0.0,1,1,8,ddr4,0,1,1,14.0,1.52,2,2,256,intel core i3 11th gen,362,5.0,intel uhd,5.05,4,7,0.6035437430786268,0.017456896551724138,73.1930947137605,24.393718997021423,30.786836092638634
